Hotel Name,Lat,Lng,City,Country
St. George,37.0965278,-113.5684164,saint george,US
Karratha,-20.7337105,116.8447425,karratha,AU
Nouakchott,18.0735299,-15.9582372,nouakchott,MR
Truth or Consequences,33.12840469999999,-107.2528069,truth or consequences,US
Kashgar Prefecture,39.47040000000001,75.989755,kashi,CN
Pampa,35.5361559,-100.9598709,pampa,US
Port Lavaca,28.6149968,-96.6260892,port lavaca,US
Blythe,33.61777250000001,-114.5882607,blythe,US
Hurricane,37.1752607,-113.2899484,hurricane,US
Oro Valley,32.3909071,-110.966488,catalina,US
Houston,29.7604267,-95.3698028,houston,US
